City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,klaksvik,62.2266,-6.589,7.51,82,100,10.29,FO,1689820154
147,filipstad,59.7124,14.1683,8.35,95,32,1.63,SE,1689820154
148,san luis de la loma,17.2706,-100.8939,28.26,81,100,2.84,MX,1689820154
149,hodmezovasarhely,46.4167,20.3333,21.69,70,100,3.53,HU,1689820155
150,zeribet el oued,34.6828,6.5111,34.61,12,8,2.46,DZ,1689820155
151,richards bay,-28.783,32.0377,14.36,86,100,5.6,ZA,1689820155
152,fada,9.5667,8.3,20.4,99,99,0.78,NG,1689820155
153,new norfolk,-42.7826,147.0587,9.29,58,100,5.13,AU,1689820156
154,sisimiut,66.9395,-53.6735,7.04,97,100,4.31,GL,1689820156
155,mugia,43.1041,-9.2179,17.17,88,43,5.06,ES,1689820156
156,cabo san lucas,22.8909,-109.9124,31.41,60,40,7.2,MX,1689819604
157,tolanaro,-25.0319,46.9987,18.04,94,40,1.03,MG,1689820156
158,ust-tsilma,65.441,52.1498,18.57,90,78,2.13,RU,1689820156
159,gualeguaychu,-33.0094,-58.5172,7.72,85,63,3.68,AR,1689820157
160,newman,37.3138,-121.0208,36.06,10,1,3.83,US,1689820157
161,siwa oasis,29.2041,25.5195,28.18,35,0,3.15,EG,1689820157
162,port macquarie,-31.4333,152.9167,18.27,43,0,1.07,AU,1689820158
163,udachny,66.4167,112.4,16.92,58,97,4.25,RU,1689820158
164,puerto ayora,-0.7393,-90.3518,25.86,95,32,2.24,EC,1689820158
165,bam,29.106,58.357,32.33,14,100,4.81,IR,1689820158
166,kawm umbu,24.4767,32.9463,32.23,17,0,2.26,EG,1689820158
167,rechka-vydrino,51.485,104.8461,13.02,80,0,2.78,RU,1689820160
168,melfi,40.9965,15.6514,20.27,55,0,4.23,IT,1689820160
169,saipan,15.1355,145.701,30.92,100,20,6.17,MP,1689820160
170,san julian,21.0167,-102.1667,19.1,50,98,2.08,MX,1689820160
171,east london,-33.0153,27.9116,11.66,74,81,6.05,ZA,1689820160
172,salaqi,40.5414,110.5108,28.55,29,92,3.46,CN,1689820161
173,pueblo,38.2545,-104.6091,23.7,69,40,4.63,US,1689820161
174,bel ombre,-4.6167,55.4167,25.91,89,40,2.57,SC,1689820161
175,cutral-co,-38.9469,-69.2089,9.7,62,10,2.12,AR,1689820161
176,mulanur,10.7667,77.7167,27.09,58,100,10.29,IN,1689820162
177,klyuchi,52.2667,79.1667,27.14,40,28,3.51,RU,1689820162
178,san antonio de pale,-1.4014,5.6325,23.29,83,100,5.43,GQ,1689820162
179,port elizabeth,-33.918,25.5701,9.16,87,100,3.09,ZA,1689820030
180,utrik,11.2278,169.8474,27.05,86,100,10.42,MH,1689820162
181,khandyga,62.6667,135.6,24.75,49,50,0.82,RU,1689820163
182,touros,-5.1989,-35.4608,23.38,84,9,6.0,BR,1689820163
183,arno,60.1167,18.6333,11.81,80,89,2.75,SE,1689820163
184,kodiak,57.79,-152.4072,12.73,94,100,2.57,US,1689820163
185,kachug,53.9606,105.8817,21.6,35,23,2.38,RU,1689820163
186,strezhevoy,60.7333,77.5889,21.63,54,82,4.81,RU,1689820164
187,alexandria,31.2156,29.9553,25.54,72,0,1.37,EG,1689820164
188,dashtobod,40.1269,68.4944,26.96,29,0,1.91,UZ,1689820164
189,al kharijah,25.4514,30.5464,30.03,22,0,1.9,EG,1689820164
190,copiapo,-27.3667,-70.3333,11.83,28,100,0.43,CL,1689819567
191,ola,59.5833,151.2833,30.08,74,7,3.41,RU,1689820002
192,mukalla,14.5425,49.1242,28.89,68,100,0.91,YE,1689820165
193,pelabuhanratu,-6.9875,106.5514,27.09,60,91,2.23,ID,1689820165
194,pretoria,-25.7449,28.1878,8.61,56,0,1.54,ZA,1689819922
195,bedong,5.7274,100.5088,26.98,91,100,1.08,MY,1689820166
196,saint-joseph,-21.3667,55.6167,20.0,85,18,4.71,RE,1689820166
197,lata,40.1629,-8.3327,14.56,98,74,0.94,PT,1689820166
198,zhanaozen,43.3,52.8,22.36,50,0,0.53,KZ,1689820166
199,nagqu,31.5,92.0,8.54,61,1,2.31,CN,1689820167
200,nova sintra,14.8667,-24.7167,22.91,84,100,2.55,CV,1689820167
201,bereznik,62.8551,42.7072,16.83,85,100,1.82,RU,1689820168
202,severo-yeniseyskiy,60.3725,93.0408,21.67,42,97,0.89,RU,1689820168
203,ambar,37.8532,40.5278,24.77,22,0,1.02,TR,1689820168
204,luderitz,-26.6481,15.1594,12.23,61,44,6.62,NA,1689820168
205,huetamo de nunez,18.5833,-100.8833,29.87,50,82,2.08,MX,1689820168
206,okha,53.5739,142.9478,16.17,82,98,5.74,RU,1689820169
207,tura,25.5198,90.2201,27.27,80,98,2.75,IN,1689820169
208,luwuk,-0.9516,122.7875,28.46,72,46,2.88,ID,1689820169
209,kavieng,-2.5744,150.7967,27.61,71,95,2.76,PG,1689820170
210,yangambi,0.8102,24.4336,21.22,91,86,1.33,CD,1689820170
211,nizhneudinsk,54.9076,99.0276,17.49,70,99,2.87,RU,1689820170
212,bekondo,4.6819,9.3214,21.46,98,100,0.76,CM,1689820170
213,mount pearl,47.5166,-52.7813,22.0,94,40,7.2,CA,1689820170
214,coruripe,-10.1256,-36.1756,23.14,81,42,4.48,BR,1689819910
215,sitka,57.0531,-135.33,15.94,72,100,2.57,US,1689820172
216,lihue,21.9789,-159.3672,26.46,79,100,8.75,US,1689820172
217,minot air force base,48.4209,-101.3391,20.52,76,40,4.63,US,1689820172
218,batticaloa,7.7102,81.6924,27.84,60,100,2.78,LK,1689820172
219,yung shue wan,22.2333,114.1167,30.03,66,100,3.66,HK,1689820173
220,vilyuchinsk,52.9306,158.4028,15.7,88,96,2.95,RU,1689820173
221,hashtrud,37.4779,47.0508,16.6,70,0,1.8,IR,1689820173
222,hastings,50.8552,0.5729,14.35,43,3,2.31,GB,1689820138
223,vila franca do campo,37.7167,-25.4333,19.23,87,100,0.66,PT,1689820173
224,pyin oo lwin,22.0333,96.4667,20.71,95,100,0.98,MM,1689820174
225,bubaque,11.2833,-15.8333,27.15,82,41,5.47,GW,1689820174
226,colonia,50.9333,6.95,15.05,93,6,1.6,DE,1689820174
227,port alfred,-33.5906,26.891,11.36,73,73,4.75,ZA,1689820174
228,college,64.8569,-147.8028,22.7,73,75,2.06,US,1689820175
229,hamilton,39.1834,-84.5333,23.66,87,20,1.54,US,1689819976
230,delhi,28.6667,77.2167,30.05,89,75,1.54,IN,1689819448
231,castelo do piaui,-5.3222,-41.5525,22.29,47,4,2.46,BR,1689820175
232,altai,46.3722,96.2583,20.06,27,4,1.11,MN,1689820175
233,ataq,14.5377,46.8319,26.33,47,92,5.69,YE,1689820176
234,kristiansund,63.1115,7.732,10.36,93,100,1.54,NO,1689820176
235,demyansk,57.643,32.466,9.78,98,30,2.46,RU,1689820176
236,villa ocampo,-28.4875,-59.3551,9.72,89,69,2.48,AR,1689820038
237,goundam,16.4145,-3.6708,34.08,37,13,8.79,ML,1689820177
238,fort bragg,35.139,-79.006,25.06,93,40,0.0,US,1689820177
239,mossel bay,-34.1831,22.146,7.96,66,59,1.59,ZA,1689820177
240,castillos,-34.1667,-53.8333,9.97,82,100,3.65,UY,1689820177
241,hithadhoo,-0.6,73.0833,28.24,75,26,7.23,MV,1689820177
242,selogiri,-7.7833,110.8667,27.28,49,1,4.38,ID,1689820178
243,neka,36.6508,53.299,21.57,83,0,2.23,IR,1689820178
244,ust'-kulom,61.6864,53.6902,16.3,99,100,2.61,RU,1689820178
245,port blair,11.6667,92.75,29.02,79,100,5.14,IN,1689820178
246,pontianak,-0.0333,109.3333,24.99,88,75,2.06,ID,1689819891
247,nuuk,64.1835,-51.7216,9.34,87,100,7.2,GL,1689820179
248,nadym,65.5333,72.5167,22.01,70,33,4.1,RU,1689820179
249,shubarkuduk,49.1447,56.4872,21.38,60,100,2.94,KZ,1689820179
250,bulgan,48.8125,103.5347,18.2,73,0,1.28,MN,1689820179
251,prince rupert,54.3161,-130.3201,15.91,92,75,2.06,CA,1689820175
252,bukoba,-1.3317,31.8122,18.63,74,9,2.55,TZ,1689820180
253,west kelowna,49.8625,-119.5833,30.97,24,0,7.72,CA,1689820063
254,tulun,54.5611,100.5792,16.52,78,95,1.69,RU,1689820180
255,broken hill,-31.95,141.4333,16.67,39,2,11.58,AU,1689820180
256,saint-philippe,-21.3585,55.7679,20.77,88,41,5.44,RE,1689820179
257,cidreira,-30.1811,-50.2056,14.8,73,66,7.42,BR,1689820181
258,rio grande,-32.035,-52.0986,11.64,72,100,7.29,BR,1689820139
259,mount isa,-20.7333,139.5,25.87,31,40,1.54,AU,1689820181
260,kuloy,61.0305,42.4925,15.14,98,100,1.5,RU,1689820182
261,al bayda',32.7627,21.7551,21.33,78,0,3.31,LY,1689820182
262,mil'kovo,55.6078,37.7956,11.92,84,41,5.12,RU,1689820182
263,punta arenas,-53.15,-70.9167,1.61,90,100,3.02,CL,1689820182
264,hawaiian paradise park,19.5933,-154.9731,26.28,91,75,6.17,US,1689820182
265,palikir - national government center,6.9248,158.1611,29.41,79,75,2.06,FM,1689820183
266,ushibukamachi,32.1906,130.0228,27.23,84,100,0.62,JP,1689820183
267,atherton,53.5237,-2.4935,12.25,92,8,1.36,GB,1689820183
268,menongue,-14.6585,17.691,9.31,50,0,0.9,AO,1689820183
269,alegrete,-29.7831,-55.7919,9.2,88,93,6.25,BR,1689820183
270,margate,51.3813,1.3862,14.78,94,5,0.45,GB,1689820184
271,vorkuta,67.5,64.0,19.05,76,100,2.46,RU,1689820184
272,arkhangel'sk,64.5401,40.5433,18.22,79,100,1.53,RU,1689820184
273,cedar falls,42.5278,-92.4455,23.59,77,0,1.54,US,1689820184
274,astrakhan,46.3497,48.0408,21.62,68,0,4.02,RU,1689820185
275,robertsport,6.7533,-11.3686,25.04,88,100,3.46,LR,1689820185
276,holualoa,19.6228,-155.9522,27.0,84,40,4.63,US,1689820091
277,ust-nera,64.5667,143.2,25.88,36,97,1.54,RU,1689820185
278,kem',64.9555,34.5793,12.98,97,95,3.75,RU,1689820186
279,el bauga,18.262,33.9081,32.7,17,87,3.59,SD,1689820186
280,richfield,44.8833,-93.283,21.86,82,75,3.09,US,1689820186
281,badou,7.5833,0.6,22.43,96,96,0.46,TG,1689820186
282,guerrero negro,27.9769,-114.0611,20.97,79,3,7.48,MX,1689820186
283,stewartville,43.8555,-92.4885,23.9,75,0,3.6,US,1689820072
284,mvomero,-6.25,38.6667,19.09,97,0,1.82,TZ,1689820187
285,litochoro,40.1006,22.4978,21.49,38,0,1.91,GR,1689820187
286,juan griego,11.0817,-63.9655,27.07,89,100,2.57,VE,1689820187
287,villa gesell,-37.2639,-56.973,7.25,78,100,5.91,AR,1689820187
288,crane,31.3974,-102.3501,34.26,21,7,8.69,US,1689820187
289,yarmouth,41.7057,-70.2286,22.98,79,100,2.24,US,1689820188
290,hammerfest,70.6634,23.6821,8.25,93,100,3.6,NO,1689820188
291,hobyo,5.3505,48.5268,24.35,85,23,9.11,SO,1689820188
292,saldanha,-33.0117,17.9442,5.03,72,0,5.64,ZA,1689820188
293,tofol,5.3248,163.0078,27.92,79,100,5.47,FM,1689820188
294,badger,64.8,-147.5333,20.89,78,100,2.06,US,1689820189
295,midoun,33.8081,10.9923,26.92,56,0,3.03,TN,1689820189
296,antsiranana,-12.2787,49.2917,24.19,75,50,5.98,MG,1689820190
297,al jawf,29.5,38.75,26.69,18,0,2.97,SA,1689820190
298,constantia,44.1833,28.65,23.38,74,0,5.08,RO,1689820182
299,chinde,26.8418,88.0763,23.04,77,49,1.52,NP,1689820190
300,verkhniye kigi,55.4083,58.6044,15.72,93,94,3.45,RU,1689820191
301,oranjemund,-28.55,16.4333,10.73,60,59,6.79,NA,1689820192
302,kone,-21.0595,164.8658,22.52,67,84,5.07,NC,1689820193
303,lazaro cardenas,17.9583,-102.2,28.75,80,99,2.63,MX,1689820193
304,ke-macina,13.9623,-5.3572,30.49,55,87,6.61,ML,1689820193
305,redencao,-4.2258,-38.7306,22.54,94,17,0.27,BR,1689820194
306,anaco,9.4389,-64.4728,23.71,88,52,2.53,VE,1689820194
307,zomba,-15.386,35.3188,13.97,69,3,1.04,MW,1689820194
308,saacow,1.6279,42.4407,22.37,82,78,3.54,SO,1689820194
309,nanga eboko,4.6833,12.3667,20.61,98,100,2.49,CM,1689820194
310,qaqortoq,60.7167,-46.0333,6.99,96,100,1.45,GL,1689820191
311,boa vista,2.8197,-60.6733,26.99,78,0,1.03,BR,1689820195
312,kirillov,59.863,38.3813,12.84,97,100,4.75,RU,1689820195
313,monticello,45.3055,-93.7941,20.22,94,40,2.57,US,1689820062
314,mata-utu,-13.2816,-176.1745,27.57,80,100,5.65,WF,1689820195
315,ilulissat,69.2167,-51.1,10.01,71,100,0.0,GL,1689819995
316,coyhaique,-45.5752,-72.0662,4.57,99,100,1.68,CL,1689820196
317,tucurui,-3.7661,-49.6725,24.03,55,3,0.98,BR,1689819903
318,kapuskasing,49.4169,-82.4331,17.0,82,75,1.03,CA,1689820194
319,turkmenbasy,40.0222,52.9552,24.43,60,0,2.06,TM,1689820196
320,plettenberg bay,-34.0527,23.3716,10.17,75,72,0.84,ZA,1689820197
321,chulym,55.0997,80.9572,23.29,50,100,3.82,RU,1689820197
322,pacific grove,36.6177,-121.9166,13.57,89,100,3.6,US,1689820197
323,el nido,11.1858,119.3956,29.08,72,60,1.2,PH,1689820198
324,sagae,38.3725,140.2725,22.99,100,75,2.06,JP,1689820198
325,wynyard,-41.0,145.7167,11.63,70,70,8.05,AU,1689820198
326,ghanzi,-21.5667,21.7833,8.68,33,0,3.89,BW,1689820198
327,ceeldheer,3.8488,47.1806,24.1,84,91,7.43,SO,1689820198
328,toliara,-23.35,43.6667,19.53,84,76,3.13,MG,1689820199
329,howrah,22.5892,88.3103,29.0,89,40,4.63,IN,1689820199
330,dunedin,-45.8742,170.5036,8.78,57,79,0.89,NZ,1689820199
331,kyshtovka,56.555,76.6271,16.66,93,100,3.58,RU,1689820199
332,sinabang,2.4803,96.3801,24.3,87,100,2.03,ID,1689820200
333,mariental,-24.6333,17.9667,6.98,51,0,2.95,NA,1689820200
334,anqing,30.5092,117.0506,29.04,80,100,3.07,CN,1689820200
335,veraval,20.9,70.3667,27.37,84,100,6.01,IN,1689820201
336,carloforte,39.145,8.3058,25.98,82,0,4.95,IT,1689820201
337,whitehorse,60.7161,-135.0538,22.81,30,75,5.14,CA,1689820201
338,timmins,48.4669,-81.3331,15.9,88,75,2.06,CA,1689820202
339,pangody,65.85,74.4859,23.15,66,62,4.29,RU,1689820202
340,traverse city,44.7631,-85.6206,20.93,74,100,1.54,US,1689820184
341,port-gentil,-0.7193,8.7815,22.66,90,100,6.01,GA,1689820203
342,saint-pierre,-21.3393,55.4781,20.79,68,0,4.12,RE,1689820203
343,grootfontein,-19.5667,18.1167,4.76,38,0,1.54,NA,1689820205
344,kobelyaky,49.1489,34.1965,18.01,53,79,0.23,UA,1689820205
345,ellensburg,46.9965,-120.5479,32.43,25,0,2.57,US,1689820201
346,narasannapeta,18.4167,84.05,28.56,75,100,3.67,IN,1689820206
347,nar'yan-mar,67.6713,53.087,15.25,76,90,6.69,RU,1689820012
348,kapa'a,22.0752,-159.319,26.43,83,100,8.75,US,1689820206
349,isafjordur,66.0755,-23.124,8.19,82,24,0.18,IS,1689820207
350,dryden,49.7833,-92.7503,15.16,100,100,3.6,CA,1689820207
351,guozhen,34.3659,107.359,31.71,52,61,0.54,CN,1689820207
352,walvis bay,-22.9575,14.5053,10.53,100,0,3.6,NA,1689820207
353,nuku'alofa,-21.1333,-175.2,23.19,73,100,5.14,TO,1689820208
354,kyelang,32.5833,77.0333,12.4,90,100,0.93,IN,1689820208
355,conception bay south,47.4999,-52.9981,21.91,94,96,4.87,CA,1689820208
356,hermiston,45.8404,-119.2895,34.8,25,0,3.08,US,1689820209
357,pokrovsk,48.282,37.1758,15.66,63,24,3.21,UA,1689820209
358,acapulco de juarez,16.8634,-99.8901,29.9,84,75,4.63,MX,1689820172
359,trinidad,-14.8333,-64.9,18.0,62,0,1.82,BO,1689820209
360,victorica,-36.2151,-65.4359,8.75,55,98,7.12,AR,1689820210
361,mar del plata,-38.0023,-57.5575,7.79,80,0,4.12,AR,1689820119
362,polyarnyy,69.1989,33.4478,10.88,94,100,7.78,RU,1689820210
363,tulagi,-9.0996,160.1476,27.95,79,22,1.76,SB,1689820210
364,tan-tan,28.438,-11.1032,20.31,92,57,6.58,MA,1689820210
365,amargosa,-13.0303,-39.6047,18.27,83,54,3.33,BR,1689820211
366,kapit,2.0167,112.9333,27.61,92,100,0.36,MY,1689820211
367,divnogorsk,55.9594,92.3619,19.3,47,0,4.8,RU,1689820212
368,thurso,58.5927,-3.5259,9.14,82,100,7.17,GB,1689820108
369,wakkanai,45.4094,141.6739,22.83,79,20,4.12,JP,1689820213
370,wanning,18.8003,110.3967,30.46,72,95,2.81,CN,1689820213
371,vanino,49.0869,140.2543,25.48,61,9,2.88,RU,1689819972
372,olinda,-8.0089,-34.8553,26.85,65,0,6.17,BR,1689820213
373,rantoul,40.3084,-88.1559,24.14,88,75,0.0,US,1689820214
374,rahimah,26.7079,50.0619,30.12,40,53,5.4,SA,1689820214
375,thunder bay,48.4001,-89.3168,13.95,94,100,4.12,CA,1689820069
376,pisco,-13.7,-76.2167,20.03,77,100,2.06,PE,1689820214
377,xining,36.6167,101.7667,18.95,51,89,0.48,CN,1689820215
378,camiri,-20.05,-63.5167,8.83,89,59,0.88,BO,1689820215
379,general levalle,-34.0147,-63.9241,8.35,52,100,6.27,AR,1689820215
380,katsuura,35.1333,140.3,26.85,77,20,7.51,JP,1689820215
381,iraquara,-12.2486,-41.6194,15.84,87,1,2.15,BR,1689820215
382,aldan,58.6031,125.3894,9.66,95,100,1.88,RU,1689820216
383,aleksandrov gay,50.147,48.5704,18.79,64,66,2.87,RU,1689820216
384,kirakira,-10.4544,161.9205,28.85,81,53,3.68,SB,1689820216
385,chilecito,-29.1619,-67.4974,7.67,62,81,0.73,AR,1689820216
386,al qusayr,34.5091,36.5798,23.27,48,0,0.85,SY,1689820217
387,kalur kot,32.1564,71.2594,29.16,72,87,3.5,PK,1689820217
388,belfast,54.5833,-5.9333,11.86,83,6,1.54,GB,1689820217
389,waingapu,-9.6567,120.2641,28.11,57,40,6.1,ID,1689820217
390,vicosa,-20.7539,-42.8819,16.77,94,99,3.81,BR,1689820218
391,tarauaca,-8.1614,-70.7656,24.07,75,76,0.63,BR,1689820218
392,turbo,8.0937,-76.7269,29.07,90,52,3.33,CO,1689820218
393,susuman,62.7833,148.1667,23.0,48,83,3.62,RU,1689820219
394,lethem,3.3803,-59.7968,24.83,81,25,2.29,GY,1689820219
395,belmonte,-15.8631,-38.8828,24.1,65,97,4.74,BR,1689820147
396,paradip garh,20.3167,86.6167,29.9,76,89,2.45,IN,1689820220
397,albertina,-22.2008,-46.6158,12.86,93,5,2.56,BR,1689820220
398,vanimo,-2.6741,141.3028,29.1,71,92,4.4,PG,1689820220
399,peto,20.1333,-88.9167,24.37,92,71,1.23,MX,1689820220
400,arraial do cabo,-22.9661,-42.0278,19.44,80,100,6.87,BR,1689820221
401,weno,7.4515,151.8468,28.73,74,54,2.79,FM,1689820200
402,ponta delgada,37.7333,-25.6667,19.4,88,20,1.54,PT,1689820221
403,cattolica,43.9575,12.7376,25.16,80,0,2.57,IT,1689820221
404,valdobbiadene,45.8993,11.9946,19.82,48,54,2.21,IT,1689820222
405,argo,37.6333,22.7333,26.55,37,0,2.04,GR,1689820222
406,kruisfontein,-34.0033,24.7314,7.71,87,71,0.31,ZA,1689820222
407,polur,12.5,79.1333,29.39,52,91,6.0,IN,1689820222
408,tapa,59.2606,25.9586,10.21,97,99,2.44,EE,1689820223
409,ghat,24.9647,10.1728,27.71,25,0,1.14,LY,1689820223
410,sorong,-0.8833,131.25,29.25,70,73,5.01,ID,1689820201
411,big bend,-26.8167,31.9333,16.05,67,100,4.12,SZ,1689820224
412,vytegra,61.0064,36.4481,13.78,96,100,5.38,RU,1689820224
413,kayangel,8.0823,134.7173,28.56,80,98,11.04,PW,1689820224
414,bullsbrook,-31.6667,116.0,13.39,67,75,4.63,AU,1689819808
415,machina,13.1364,10.0492,28.56,47,95,6.48,NG,1689820225
